date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:29	1184/1184	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225a9e5ebd-e42%22	http://demo2.themelexus.com/robots.txt		(from )
17:35:38	132799/132799	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:05:31%20GMT	http://demo2.themelexus.com/carutos/	C:/Users/dell/Desktop/barath/automa10/demo2.themelexus.com/carutos/index.html	(from )
17:35:40	1007105/1007105	---M-Z	200	added ('OK')	text/css	etag:7744b00b4deaa1d5bf59d3c240a40fdb	http://demo2.themelexus.com/carutos/wp-content/cache/autoptimize/autoptimize_560495e1c27a65578593bece8ab18168.php	C:/Users/dell/Desktop/barath/automa10/demo2.themelexus.com/carutos/wp-content/cache/autoptimize/autoptimize_560495e1c27a65578593bece8ab18168.css	(from http://demo2.themelexus.com/carutos/)
17:35:41	7818/7818	---M-Z	200	added ('OK')	text/css	etag:2d5771ac457805df05ff4aeead61ec16	http://demo2.themelexus.com/carutos/wp-content/cache/autoptimize/autoptimize_single_15fb26a3dc40ac083efb771b97f6bc3e.php?ver=1576465649	C:/Users/dell/Desktop/barath/automa10/demo2.themelexus.com/carutos/wp-content/cache/autoptimize/autoptimize_single_15fb26a3dc40ac083efb771b97f6bc3e4cba.css	(from http://demo2.themelexus.com/carutos/)
17:35:41	7453/7453	---MC-	200	added ('OK')	application/rss+xml	etag:%2270bf87b43d6177ff7d4f50206ab864f1%22	http://demo2.themelexus.com/carutos/comments/feed/	C:/Users/dell/Desktop/barath/automa10/demo2.themelexus.com/carutos/comments/feed/index.html	(from http://demo2.themelexus.com/carutos/)
17:35:41	16944/16944	---M-Z	200	added ('OK')	text/css	etag:9c9f7636f4325b49acc2a9188521f7c3	http://demo2.themelexus.com/carutos/wp-content/cache/autoptimize/autoptimize_single_bea60c8b07d33913bf7aac23708ee431.php?ver=1576465649	C:/Users/dell/Desktop/barath/automa10/demo2.themelexus.com/carutos/wp-content/cache/autoptimize/autoptimize_single_bea60c8b07d33913bf7aac23708ee4314cba.css	(from http://demo2.themelexus.com/carutos/)
17:35:42	5137/5137	---M-Z	200	added ('OK')	text/css	etag:849cb341372130482c51494295cc0d20	http://demo2.themelexus.com/carutos/wp-content/cache/autoptimize/autoptimize_single_c9ae8b3dc3a2681dcda6b352a443755e.php?ver=1576465649	C:/Users/dell/Desktop/barath/automa10/demo2.themelexus.com/carutos/wp-content/cache/autoptimize/autoptimize_single_c9ae8b3dc3a2681dcda6b352a443755e4cba.css	(from http://demo2.themelexus.com/carutos/)
17:35:42	49662/49662	---M-Z	200	added ('OK')	text/css	etag:83005726bf0f8e7369c728f9ae8c8449	http://demo2.themelexus.com/carutos/wp-content/cache/autoptimize/autoptimize_single_024121b614df2090796af18604137d57.php?ver=1581309700	C:/Users/dell/Desktop/barath/automa10/demo2.themelexus.com/carutos/wp-content/cache/autoptimize/autoptimize_single_024121b614df2090796af18604137d576cf5.css	(from http://demo2.themelexus.com/carutos/)
17:35:43	37115/37115	---MC-	200	added ('OK')	application/rss+xml	etag:%220178ced937345c39339410db1312fa2f%22	http://demo2.themelexus.com/carutos/feed/	C:/Users/dell/Desktop/barath/automa10/demo2.themelexus.com/carutos/feed/index.html	(from http://demo2.themelexus.com/carutos/)
17:35:44	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df6f20c-17a69%22	http://demo2.themelexus.com/carutos/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/dell/Desktop/barath/automa10/demo2.themelexus.com/carutos/wp-includes/js/jquery/jquery4a5f.js	(from http://demo2.themelexus.com/carutos/)
